ticker,name,market,exchange,currency,aliases,source_url
603986.SH,兆易创新,CN,SSE,CNY,GigaDevice|兆易,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=603986
688126.SH,沪硅产业,CN,SSE STAR,CNY,上海硅产业,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688126
605358.SH,立昂微,CN,SSE,CNY,杭州立昂微,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=605358
688432.SH,有研硅,CN,SSE STAR,CNY,有研半导体,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688432
688233.SH,神工股份,CN,SSE STAR,CNY,锦州神工,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688233
688766.SH,普冉股份,CN,SSE STAR,CNY,普冉,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688766
688110.SH,东芯股份,CN,SSE STAR,CNY,东芯,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688110
688416.SH,恒烁股份,CN,SSE STAR,CNY,恒烁,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688416
002371.SZ,北方华创,CN,SZSE,CNY,北方华创科技,https://www.szse.cn/certificate/individual/index.html?code=002371
688019.SH,安集科技,CN,SSE STAR,CNY,安集,http://www.sse.com.cn/assortment/stock/list/info/company/index.shtml?COMPANY_CODE=688019
